restaurant_id,dish_id,order_date,quantity,restaurant_name,location,cuisine,partner_id,dish_name,category,price,partner_name,rating
172,27,2025-01-20,1,Schmidt-Murphy,Osbornefurt,Indian,8,father,Appetizer,30,Barrett-Perkins,1.5
160,23,2025-01-21,2,Ponce-Montgomery,South Amberside,Indian,9,rest,Dessert,46,Henderson Ltd,3.8
193,361,2025-01-02,2,Ellis and Sons,Garciaport,Chinese,25,magazine,Dessert,29,Sullivan-Lee,4.7
100,280,2025-01-10,4,"Adams, Norris and Jackson",Donaldsonfurt,Chinese,23,remain,Appetizer,37,"Palmer, Webster and Daniels",3.2
94,29,2025-01-28,2,Stout-Lane,Lake Richard,Indian,18,capital,Dessert,14,"Stephens, Allison and Jordan",2.1
252,334,2025-01-19,2,Carson Ltd,Lake Juanberg,Mexican,22,within,Dessert,45,Garner-Russo,4.2
28,264,2025-02-17,4,Rubio-Torres,Garciachester,Italian,13,inside,Appetizer,40,Carson and Sons,4.4
19,152,2025-01-09,3,"Rowe, Jensen and Howell",Kevinfort,Chinese,25,knowledge,Appetizer,14,Sullivan-Lee,4.7
27,199,2025-02-06,1,Doyle and Sons,Lawrenceland,Chinese,1,once,Main,32,Hall and Sons,4.0
276,264,2025-02-02,2,Torres and Sons,Edwardsville,Italian,7,inside,Appetizer,40,Lewis-Randolph,2.6
16,105,2025-02-12,4,Atkins-Mendoza,South Larry,Indian,10,center,Main,23,"Garcia, King and Rodriguez",2.4
272,224,2025-01-31,3,"Davis, Riddle and Martinez",Alexandermouth,Italian,20,group,Main,45,Maxwell-Johnson,1.3
40,193,2025-01-05,1,Jenkins and Sons,Johnbury,Mexican,8,along,Main,29,Barrett-Perkins,1.5
239,269,2025-01-21,2,"Jones, Johnson and Garcia",Jennifermouth,Chinese,24,kind,Dessert,26,Russo-Terry,2.6
238,247,2025-01-07,3,Hernandez-Brown,Paynemouth,Chinese,30,because,Dessert,5,Miller-Graham,4.9
185,159,2025-01-17,3,"Smith, Henson and Pittman",Darrellmouth,Indian,18,each,Appetizer,23,"Stephens, Allison and Jordan",2.1
52,279,2025-01-29,1,Acosta-Williams,Karenfort,Indian,22,set,Main,30,Garner-Russo,4.2
68,161,2025-02-18,4,Anderson Ltd,North Duane,Mexican,9,tough,Appetizer,6,Henderson Ltd,3.8
58,391,2025-01-07,3,"Riley, Li and Lee",Lake Melissa,Mexican,12,add,Main,21,Stark-Velez,4.5
83,70,2025-01-29,3,"Franco, Rocha and Randall",North Clifford,Mexican,5,contain,Dessert,46,"Mitchell, Martin and Ellis",1.6
133,44,2025-01-20,2,"Vargas, Nelson and Thomas",Watsonchester,Chinese,18,maybe,Dessert,13,"Stephens, Allison and Jordan",2.1
266,30,2025-01-13,4,"Luna, Rodgers and Larson",New Martin,Mexican,13,find,Main,43,Carson and Sons,4.4
182,369,2025-01-27,3,White-Thomas,Lake Bridgethaven,Chinese,17,establish,Appetizer,23,Mcdonald Inc,4.7
16,229,2025-02-19,4,Atkins-Mendoza,South Larry,Indian,10,care,Dessert,25,"Garcia, King and Rodriguez",2.4
108,95,2025-02-01,3,Mccall-Thomas,Port Ericville,Chinese,3,main,Main,39,Rojas-Duncan,2.4
265,184,2025-02-16,2,Morgan-Casey,Eduardoberg,Indian,29,stock,Main,18,Hamilton PLC,4.3
251,188,2025-01-28,2,Jones-Davis,Ramosview,Chinese,15,check,Appetizer,8,"Cook, Mcgrath and Nash",3.7
96,285,2025-02-17,4,Haley Group,Lauriefort,Mexican,22,recent,Dessert,16,Garner-Russo,4.2
102,62,2025-02-14,1,Smith-Harrell,Port Ernestfort,Chinese,3,follow,Main,42,Rojas-Duncan,2.4
84,320,2025-02-11,4,"Cunningham, Turner and Gomez",North Beverlyview,Chinese,28,them,Dessert,46,"Edwards, Young and Lynch",4.8
264,157,2025-02-01,1,"Brown, Myers and Macias",Kristinside,Mexican,13,up,Main,39,Carson and Sons,4.4
227,257,2025-02-07,2,Wilson-Guzman,Floresstad,Mexican,14,behind,Main,10,Koch-Lewis,4.5
237,81,2025-02-04,3,Ramirez-Wright,South Katie,Mexican,25,board,Dessert,37,Sullivan-Lee,4.7
262,9,2025-01-01,1,Wagner and Sons,Floresview,Indian,4,join,Appetizer,43,Donovan-Brock,2.9
31,238,2025-02-20,4,Dennis Ltd,Georgeborough,Mexican,24,economic,Appetizer,26,Russo-Terry,2.6
1,277,2025-01-23,4,Conway-Richmond,North Emilyfurt,Indian,19,smile,Dessert,6,Lara and Sons,2.0
70,383,2025-01-22,3,Larsen-Walton,Lake Charlesborough,Indian,11,first,Dessert,8,"Cox, Singh and Moore",2.8
280,53,2025-02-19,4,Macias-Henry,South Erin,Indian,27,help,Main,26,"Miller, Rodriguez and Greer",1.8
60,251,2025-02-20,3,Sullivan-Davidson,Lake Jasonchester,Mexican,19,station,Appetizer,6,Lara and Sons,2.0
227,45,2025-01-09,2,Wilson-Guzman,Floresstad,Mexican,14,send,Appetizer,23,Koch-Lewis,4.5
227,82,2025-01-16,2,Wilson-Guzman,Floresstad,Mexican,14,into,Appetizer,21,Koch-Lewis,4.5
116,311,2025-02-19,3,Hudson-Wiggins,Timshire,Chinese,8,produce,Appetizer,28,Barrett-Perkins,1.5
16,274,2025-01-26,4,Atkins-Mendoza,South Larry,Indian,10,we,Appetizer,24,"Garcia, King and Rodriguez",2.4
33,199,2025-01-15,1,Richards Ltd,Jamesshire,Indian,15,once,Main,32,"Cook, Mcgrath and Nash",3.7
203,275,2025-02-15,3,Payne-Turner,Tyronetown,Italian,10,happy,Dessert,36,"Garcia, King and Rodriguez",2.4
180,48,2025-01-26,3,"Davis, Hester and Duran",Port Lauramouth,Chinese,2,single,Main,31,Diaz-Hernandez,4.7
164,180,2025-02-09,1,Cortez-Reed,Adamstad,Indian,11,identify,Dessert,21,"Cox, Singh and Moore",2.8
296,254,2025-01-15,4,Moon-Heath,New Tamara,Italian,1,theory,Appetizer,10,Hall and Sons,4.0
255,271,2025-02-13,3,"Lane, Charles and Ho",East Kara,Indian,7,rock,Main,40,Lewis-Randolph,2.6
110,90,2025-02-14,4,Baxter-Castillo,New Jessicachester,Indian,22,suffer,Appetizer,6,Garner-Russo,4.2
60,61,2025-01-06,3,Sullivan-Davidson,Lake Jasonchester,Mexican,19,writer,Dessert,44,Lara and Sons,2.0
119,280,2025-01-29,4,Ramirez-Jenkins,Donaldport,Chinese,19,remain,Appetizer,37,Lara and Sons,2.0
81,29,2025-01-13,3,Roberts and Sons,Walterville,Mexican,30,capital,Dessert,14,Miller-Graham,4.9
177,27,2025-02-12,2,"Smith, Lang and Johnson",Jenniferton,Mexican,29,father,Appetizer,30,Hamilton PLC,4.3
146,140,2025-02-17,4,Villarreal-Le,West Janet,Italian,8,ball,Dessert,42,Barrett-Perkins,1.5
296,383,2025-01-29,2,Moon-Heath,New Tamara,Italian,1,first,Dessert,8,Hall and Sons,4.0
36,29,2025-02-08,4,Mckinney Group,Joshuaside,Italian,5,capital,Dessert,14,"Mitchell, Martin and Ellis",1.6
286,174,2025-02-12,4,Thompson-Johnston,West Laurenbury,Mexican,15,lay,Dessert,31,"Cook, Mcgrath and Nash",3.7
259,157,2025-01-12,2,Moss Ltd,Jarvisberg,Indian,27,up,Main,39,"Miller, Rodriguez and Greer",1.8
93,175,2025-01-23,2,Simmons Group,North Eric,Italian,26,rather,Dessert,39,"Fuentes, Mcdaniel and Elliott",4.0
73,82,2025-01-12,1,Santos-Williams,Thomaston,Chinese,11,into,Appetizer,21,"Cox, Singh and Moore",2.8
128,160,2025-01-17,3,"Thomas, Wilson and Stevens",North Michaelshire,Italian,30,but,Appetizer,20,Miller-Graham,4.9
180,196,2025-01-02,1,"Davis, Hester and Duran",Port Lauramouth,Chinese,2,fact,Appetizer,33,Diaz-Hernandez,4.7
79,378,2025-01-03,1,Lewis-Garcia,West Granttown,Indian,18,yeah,Main,32,"Stephens, Allison and Jordan",2.1
128,178,2025-02-07,2,"Thomas, Wilson and Stevens",North Michaelshire,Italian,30,southern,Main,31,Miller-Graham,4.9
225,54,2025-01-09,4,Gould-Barnett,Brianfurt,Indian,27,dog,Main,6,"Miller, Rodriguez and Greer",1.8
8,331,2025-02-05,4,Lopez PLC,Port Thomastown,Mexican,13,move,Main,27,Carson and Sons,4.4
10,357,2025-02-18,4,Shelton PLC,Lake Saraberg,Italian,10,service,Appetizer,32,"Garcia, King and Rodriguez",2.4
77,86,2025-01-16,2,Wilson-Jackson,New Isaiah,Mexican,15,outside,Appetizer,34,"Cook, Mcgrath and Nash",3.7
135,28,2025-01-13,3,Green and Sons,Schultzmouth,Chinese,17,culture,Dessert,43,Mcdonald Inc,4.7
127,260,2025-02-19,4,"Johnson, Perry and Garcia",Davismouth,Indian,3,situation,Appetizer,20,Rojas-Duncan,2.4
30,157,2025-01-19,4,Austin-Garza,New Frankhaven,Chinese,6,up,Main,39,"Norton, Rodriguez and Morrison",2.0
225,2,2025-01-10,3,Gould-Barnett,Brianfurt,Indian,27,sure,Appetizer,45,"Miller, Rodriguez and Greer",1.8
13,390,2025-02-17,2,Osborne-Patterson,Port Charles,Italian,19,daughter,Dessert,41,Lara and Sons,2.0
33,295,2025-01-02,3,Richards Ltd,Jamesshire,Indian,15,production,Dessert,44,"Cook, Mcgrath and Nash",3.7
299,126,2025-02-11,2,Mullins-Huang,Harrismouth,Mexican,5,organization,Dessert,24,"Mitchell, Martin and Ellis",1.6
267,162,2025-01-25,4,"Garza, Roberts and Smith",Christophermouth,Italian,25,similar,Appetizer,44,Sullivan-Lee,4.7
269,330,2025-02-03,1,"Allen, Logan and Lowe",Pooleside,Italian,21,five,Main,18,Scott PLC,1.6
149,206,2025-01-13,4,"Williams, Jones and Howard",Lake Jerryburgh,Italian,11,trade,Dessert,11,"Cox, Singh and Moore",2.8
79,143,2025-02-04,2,Lewis-Garcia,West Granttown,Indian,18,room,Appetizer,11,"Stephens, Allison and Jordan",2.1
60,316,2025-01-18,2,Sullivan-Davidson,Lake Jasonchester,Mexican,19,evidence,Appetizer,22,Lara and Sons,2.0
198,359,2025-02-15,2,"Blake, Sanchez and Hodges",Dustinshire,Italian,3,reveal,Dessert,8,Rojas-Duncan,2.4
67,305,2025-02-03,1,"Patterson, Moore and Morgan",East Roberthaven,Chinese,30,house,Appetizer,42,Miller-Graham,4.9
156,257,2025-01-30,1,Fisher Group,Port Davidberg,Chinese,7,behind,Main,10,Lewis-Randolph,2.6
245,163,2025-01-26,1,Williams-Cox,Port Toddhaven,Chinese,12,say,Main,9,Stark-Velez,4.5
295,274,2025-01-31,2,"Guzman, Olson and Hughes",South Nathan,Chinese,16,we,Appetizer,24,Coleman Group,2.0
177,245,2025-01-24,2,"Smith, Lang and Johnson",Jenniferton,Mexican,29,catch,Main,26,Hamilton PLC,4.3
60,169,2025-01-20,2,Sullivan-Davidson,Lake Jasonchester,Mexican,19,medical,Appetizer,7,Lara and Sons,2.0
153,188,2025-01-24,4,"Stewart, Fletcher and Ramsey",North Heatherton,Mexican,14,check,Appetizer,8,Koch-Lewis,4.5
133,165,2025-01-05,1,"Vargas, Nelson and Thomas",Watsonchester,Chinese,18,common,Appetizer,44,"Stephens, Allison and Jordan",2.1
136,175,2025-01-24,2,"Lewis, Scott and Foley",Thomasland,Indian,28,rather,Dessert,39,"Edwards, Young and Lynch",4.8
141,376,2025-01-04,2,"Whitehead, Miller and Wallace",Taylormouth,Italian,27,identify,Dessert,40,"Miller, Rodriguez and Greer",1.8
248,268,2025-02-17,4,"Cunningham, Smith and Hernandez",North Michele,Indian,16,your,Dessert,26,Coleman Group,2.0
128,166,2025-02-03,3,"Thomas, Wilson and Stevens",North Michaelshire,Italian,30,sit,Main,16,Miller-Graham,4.9
284,280,2025-02-20,2,"Garcia, Meyer and Petersen",Rachelmouth,Chinese,15,remain,Appetizer,37,"Cook, Mcgrath and Nash",3.7
257,15,2025-01-17,1,Mendez-Austin,North Catherine,Indian,30,fire,Main,15,Miller-Graham,4.9
86,358,2025-01-20,3,Herrera-Lee,Coxchester,Chinese,9,baby,Main,8,Henderson Ltd,3.8
66,273,2025-01-21,4,"Macdonald, Larson and Potts",East Brianshire,Mexican,16,read,Dessert,23,Coleman Group,2.0
297,78,2025-01-22,1,"Wiley, Ingram and Lopez",Morristown,Indian,2,for,Dessert,21,Diaz-Hernandez,4.7
176,24,2025-01-10,4,Miller-Clarke,Elizabethton,Mexican,4,late,Dessert,27,Donovan-Brock,2.9
124,75,2025-02-06,2,Gutierrez Inc,Yolandachester,Mexican,8,take,Dessert,12,Barrett-Perkins,1.5
25,334,2025-02-08,2,Hines-Klein,East Jesusland,Italian,7,within,Dessert,45,Lewis-Randolph,2.6
156,53,2025-02-06,4,Fisher Group,Port Davidberg,Chinese,7,help,Main,26,Lewis-Randolph,2.6
99,354,2025-02-21,4,Grant-Phillips,Butlerstad,Italian,16,him,Dessert,32,Coleman Group,2.0
157,100,2025-01-15,3,"Brown, Carrillo and Ryan",North Evelynbury,Italian,7,do,Appetizer,40,Lewis-Randolph,2.6
7,310,2025-01-24,3,Cunningham-Diaz,South Emmabury,Mexican,20,artist,Main,17,Maxwell-Johnson,1.3
219,18,2025-01-31,2,Davies-Lloyd,Scottfort,Indian,24,say,Appetizer,40,Russo-Terry,2.6
237,376,2025-02-15,3,Ramirez-Wright,South Katie,Mexican,25,identify,Dessert,40,Sullivan-Lee,4.7
24,77,2025-02-15,2,"Hill, Barber and Hernandez",Port Joseph,Chinese,8,beautiful,Appetizer,11,Barrett-Perkins,1.5
295,393,2025-02-02,2,"Guzman, Olson and Hughes",South Nathan,Chinese,16,great,Dessert,8,Coleman Group,2.0
45,274,2025-01-19,1,Hall-Lowery,Racheltown,Chinese,29,we,Appetizer,24,Hamilton PLC,4.3
238,383,2025-01-06,4,Hernandez-Brown,Paynemouth,Chinese,30,first,Dessert,8,Miller-Graham,4.9
116,15,2025-01-20,1,Hudson-Wiggins,Timshire,Chinese,8,fire,Main,15,Barrett-Perkins,1.5
112,182,2025-01-02,3,"Hernandez, Fitzgerald and Thompson",Davidhaven,Italian,2,image,Main,48,Diaz-Hernandez,4.7
292,323,2025-01-17,3,Ross PLC,Aguilarshire,Mexican,18,star,Appetizer,44,"Stephens, Allison and Jordan",2.1
136,272,2025-01-12,3,"Lewis, Scott and Foley",Thomasland,Indian,28,fish,Main,23,"Edwards, Young and Lynch",4.8
182,144,2025-01-11,1,White-Thomas,Lake Bridgethaven,Chinese,17,similar,Main,42,Mcdonald Inc,4.7
150,162,2025-02-17,2,"Payne, Thompson and Burns",West Bobby,Italian,9,similar,Appetizer,44,Henderson Ltd,3.8
91,58,2025-02-14,2,Wilson-Lee,New Michellebury,Indian,19,leave,Appetizer,6,Lara and Sons,2.0
146,188,2025-02-18,1,Villarreal-Le,West Janet,Italian,8,check,Appetizer,8,Barrett-Perkins,1.5
222,228,2025-02-19,2,Parker Ltd,Lake John,Chinese,22,his,Appetizer,16,Garner-Russo,4.2
202,172,2025-01-28,3,Madden-Thompson,East Ronaldport,Mexican,21,bring,Dessert,24,Scott PLC,1.6
264,337,2025-01-15,2,"Brown, Myers and Macias",Kristinside,Mexican,13,organization,Main,20,Carson and Sons,4.4
227,381,2025-02-16,2,Wilson-Guzman,Floresstad,Mexican,14,manager,Main,15,Koch-Lewis,4.5
123,46,2025-02-06,3,"Hawkins, Davis and Brown",Batesmouth,Chinese,19,be,Main,8,Lara and Sons,2.0
107,373,2025-02-12,1,Campbell Inc,South Johnport,Italian,3,force,Main,32,Rojas-Duncan,2.4
254,121,2025-02-10,4,May Ltd,Port Michaeltown,Italian,5,clearly,Dessert,6,"Mitchell, Martin and Ellis",1.6
203,215,2025-01-24,2,Payne-Turner,Tyronetown,Italian,10,federal,Main,41,"Garcia, King and Rodriguez",2.4
239,216,2025-02-15,2,"Jones, Johnson and Garcia",Jennifermouth,Chinese,24,take,Main,40,Russo-Terry,2.6
203,130,2025-01-15,2,Payne-Turner,Tyronetown,Italian,10,deal,Dessert,38,"Garcia, King and Rodriguez",2.4
11,256,2025-02-18,4,"Bentley, Butler and Conrad",South Tammyland,Italian,24,employee,Main,27,Russo-Terry,2.6
49,46,2025-01-08,1,Zamora-Harris,Valerieland,Mexican,1,be,Main,8,Hall and Sons,4.0
210,321,2025-02-01,1,Myers Group,West Danielle,Chinese,26,room,Main,42,"Fuentes, Mcdaniel and Elliott",4.0
21,185,2025-02-17,1,Wood Group,Gibbsshire,Mexican,30,product,Dessert,9,Miller-Graham,4.9
231,368,2025-01-31,4,Odom-Shaw,West Anthony,Mexican,17,both,Dessert,15,Mcdonald Inc,4.7
148,28,2025-01-15,4,Brown Ltd,West Cathyfurt,Mexican,17,culture,Dessert,43,Mcdonald Inc,4.7
166,14,2025-02-05,1,Cardenas-Byrd,Benjaminburgh,Chinese,14,item,Main,20,Koch-Lewis,4.5
115,362,2025-02-11,2,"James, Martin and Joseph",West Martin,Indian,30,case,Main,11,Miller-Graham,4.9
181,114,2025-01-11,3,Wilson Inc,Andrewton,Indian,10,ready,Dessert,27,"Garcia, King and Rodriguez",2.4
210,54,2025-01-10,4,Myers Group,West Danielle,Chinese,26,dog,Main,6,"Fuentes, Mcdaniel and Elliott",4.0
53,278,2025-01-21,2,Lawson-Lopez,North Johnmouth,Indian,2,fly,Main,15,Diaz-Hernandez,4.7
171,384,2025-01-17,1,Goodman LLC,West Kristyshire,Indian,21,three,Dessert,33,Scott PLC,1.6
66,341,2025-02-10,2,"Macdonald, Larson and Potts",East Brianshire,Mexican,16,own,Main,43,Coleman Group,2.0
242,259,2025-02-13,4,"Perez, Castillo and Lopez",Davisberg,Mexican,1,attorney,Dessert,9,Hall and Sons,4.0
116,160,2025-02-11,4,Hudson-Wiggins,Timshire,Chinese,8,but,Appetizer,20,Barrett-Perkins,1.5
288,282,2025-02-11,4,Floyd-Moody,Julianburgh,Indian,27,bar,Main,43,"Miller, Rodriguez and Greer",1.8
234,350,2025-02-22,2,Willis Group,Joelside,Mexican,1,off,Main,27,Hall and Sons,4.0
241,350,2025-02-06,2,Solomon PLC,Mooreland,Indian,2,off,Main,27,Diaz-Hernandez,4.7
205,69,2025-02-11,3,Wilson PLC,Tamaraborough,Chinese,17,food,Main,13,Mcdonald Inc,4.7
277,324,2025-01-08,3,Mercer-Wood,Christineville,Italian,4,old,Main,42,Donovan-Brock,2.9
183,357,2025-01-25,3,"Hodges, Thornton and Ray",Warnerville,Mexican,18,service,Appetizer,32,"Stephens, Allison and Jordan",2.1
233,176,2025-01-30,2,Brooks-Boyd,Wendybury,Indian,14,do,Main,12,Koch-Lewis,4.5
155,169,2025-01-21,2,Thornton and Sons,Brandonstad,Chinese,23,medical,Appetizer,7,"Palmer, Webster and Daniels",3.2
241,218,2025-02-20,3,Solomon PLC,Mooreland,Indian,2,also,Appetizer,34,Diaz-Hernandez,4.7
94,211,2025-01-26,3,Stout-Lane,Lake Richard,Indian,18,fill,Dessert,49,"Stephens, Allison and Jordan",2.1
296,24,2025-01-07,4,Moon-Heath,New Tamara,Italian,1,late,Dessert,27,Hall and Sons,4.0
53,289,2025-02-17,4,Lawson-Lopez,North Johnmouth,Indian,2,strategy,Main,29,Diaz-Hernandez,4.7
273,159,2025-02-17,4,Nelson-Barrera,Kramerstad,Chinese,29,each,Appetizer,23,Hamilton PLC,4.3
267,137,2025-02-09,3,"Garza, Roberts and Smith",Christophermouth,Italian,25,little,Main,47,Sullivan-Lee,4.7
131,325,2025-01-12,3,"Johnson, Alexander and Thompson",New Marissaland,Indian,22,significant,Main,7,Garner-Russo,4.2
7,201,2025-02-04,1,Cunningham-Diaz,South Emmabury,Mexican,20,six,Appetizer,42,Maxwell-Johnson,1.3
125,303,2025-01-13,3,"Soto, Garcia and Wang",North Donaldmouth,Indian,18,back,Main,5,"Stephens, Allison and Jordan",2.1
114,108,2025-01-02,4,Williams Ltd,Taylorstad,Indian,13,full,Main,7,Carson and Sons,4.4
39,207,2025-02-12,4,Anderson-Green,East Chase,Mexican,1,party,Dessert,25,Hall and Sons,4.0
173,397,2025-01-18,3,Tran-Hunt,Hannaberg,Indian,3,country,Dessert,17,Rojas-Duncan,2.4
69,126,2025-01-01,2,"Rivas, Beasley and Perez",Princeville,Chinese,2,organization,Dessert,24,Diaz-Hernandez,4.7
52,164,2025-02-14,3,Acosta-Williams,Karenfort,Indian,22,person,Appetizer,21,Garner-Russo,4.2
94,113,2025-02-07,4,Stout-Lane,Lake Richard,Indian,18,tell,Appetizer,36,"Stephens, Allison and Jordan",2.1
276,291,2025-01-03,3,Torres and Sons,Edwardsville,Italian,7,Republican,Dessert,19,Lewis-Randolph,2.6
85,397,2025-01-28,3,"Duncan, Ortiz and Baker",Garciamouth,Chinese,29,country,Dessert,17,Hamilton PLC,4.3
212,11,2025-01-20,1,"Lucas, Aguilar and Taylor",New Nancychester,Italian,17,turn,Main,36,Mcdonald Inc,4.7
159,220,2025-02-20,1,"Evans, Holmes and Howell",Welchshire,Indian,23,still,Main,34,"Palmer, Webster and Daniels",3.2
212,227,2025-01-11,4,"Lucas, Aguilar and Taylor",New Nancychester,Italian,17,skin,Dessert,35,Mcdonald Inc,4.7
21,54,2025-01-30,1,Wood Group,Gibbsshire,Mexican,30,dog,Main,6,Miller-Graham,4.9
245,158,2025-01-26,2,Williams-Cox,Port Toddhaven,Chinese,12,ahead,Main,9,Stark-Velez,4.5
208,269,2025-02-08,1,Cook-Frank,New Amandaview,Mexican,16,kind,Dessert,26,Coleman Group,2.0
284,31,2025-01-14,2,"Garcia, Meyer and Petersen",Rachelmouth,Chinese,15,behavior,Appetizer,7,"Cook, Mcgrath and Nash",3.7
49,50,2025-02-22,2,Zamora-Harris,Valerieland,Mexican,1,know,Appetizer,16,Hall and Sons,4.0
259,230,2025-02-17,3,Moss Ltd,Jarvisberg,Indian,27,option,Dessert,44,"Miller, Rodriguez and Greer",1.8
204,320,2025-01-21,4,"Baker, Daniels and Price",Howardburgh,Chinese,8,them,Dessert,46,Barrett-Perkins,1.5
273,359,2025-02-03,1,Nelson-Barrera,Kramerstad,Chinese,29,reveal,Dessert,8,Hamilton PLC,4.3
165,335,2025-02-05,3,"Anderson, Pratt and Long",Marshallshire,Italian,4,happy,Dessert,49,Donovan-Brock,2.9
107,256,2025-02-12,3,Campbell Inc,South Johnport,Italian,3,employee,Main,27,Rojas-Duncan,2.4
54,185,2025-02-15,1,Heath-Branch,Lake Gregory,Italian,27,product,Dessert,9,"Miller, Rodriguez and Greer",1.8
9,211,2025-02-07,4,Harris Ltd,Port Jessica,Italian,10,fill,Dessert,49,"Garcia, King and Rodriguez",2.4
106,31,2025-02-18,4,Pierce-Lang,Emilyville,Chinese,18,behavior,Appetizer,7,"Stephens, Allison and Jordan",2.1
50,156,2025-01-10,2,"Evans, Murphy and Perkins",South Michael,Indian,28,with,Appetizer,31,"Edwards, Young and Lynch",4.8
135,159,2025-01-07,1,Green and Sons,Schultzmouth,Chinese,17,each,Appetizer,23,Mcdonald Inc,4.7
31,183,2025-01-16,2,Dennis Ltd,Georgeborough,Mexican,24,reflect,Main,9,Russo-Terry,2.6
172,289,2025-01-09,4,Schmidt-Murphy,Osbornefurt,Indian,8,strategy,Main,29,Barrett-Perkins,1.5
26,223,2025-01-13,1,"Chapman, Ramos and White",Montgomeryshire,Italian,2,up,Dessert,18,Diaz-Hernandez,4.7
218,46,2025-02-06,2,King-Little,Melindaton,Indian,7,be,Main,8,Lewis-Randolph,2.6
10,110,2025-01-03,4,Shelton PLC,Lake Saraberg,Italian,10,pass,Main,13,"Garcia, King and Rodriguez",2.4
24,199,2025-02-16,3,"Hill, Barber and Hernandez",Port Joseph,Chinese,8,once,Main,32,Barrett-Perkins,1.5
275,10,2025-02-13,2,Trevino LLC,Anthonyborough,Indian,15,power,Dessert,9,"Cook, Mcgrath and Nash",3.7
286,21,2025-02-22,2,Thompson-Johnston,West Laurenbury,Mexican,15,seven,Dessert,9,"Cook, Mcgrath and Nash",3.7
181,241,2025-01-11,4,Wilson Inc,Andrewton,Indian,10,person,Dessert,30,"Garcia, King and Rodriguez",2.4
172,185,2025-02-13,4,Schmidt-Murphy,Osbornefurt,Indian,8,product,Dessert,9,Barrett-Perkins,1.5
235,263,2025-01-29,4,Reyes-Lee,Jennamouth,Indian,13,debate,Main,29,Carson and Sons,4.4
122,273,2025-01-21,2,"Pittman, Nelson and Reid",North Diana,Indian,14,read,Dessert,23,Koch-Lewis,4.5
5,33,2025-01-19,1,Preston Inc,West Amy,Italian,25,describe,Appetizer,16,Sullivan-Lee,4.7
204,344,2025-02-07,4,"Baker, Daniels and Price",Howardburgh,Chinese,8,sort,Appetizer,33,Barrett-Perkins,1.5
